elapsed_s,esp_ms,state,clutch_mode,angle_deg,motor3_pwm,error,motor2_count,target_count,position_error,motor2_pwm,target_step
38.097,7343469,0,0,0.0,0,0,408,409,1,0,0
38.197,7343569,0,0,0.0,0,0,408,409,1,0,0
38.304,7343669,0,0,0.0,0,0,408,409,1,0,0
38.399,7343769,0,0,0.0,0,0,408,409,1,0,0
38.498,7343869,0,0,0.0,0,0,408,409,1,0,0
38.598,7343969,0,0,0.0,0,0,408,409,1,0,0
38.699,7344069,0,0,0.0,0,0,408,409,1,0,0
38.798,7344169,0,0,0.0,0,0,408,409,1,0,0
38.898,7344269,0,0,0.0,0,0,408,409,1,0,0
38.998,7344369,0,0,0.0,0,0,408,409,1,0,0
39.098,7344469,0,0,0.0,0,0,408,409,1,0,0
39.211,7344581,0,0,0.0,0,0,408,409,1,0,0
39.298,7344669,0,0,0.0,0,0,408,409,1,0,0
39.399,7344769,0,0,0.0,0,0,408,409,1,0,0
39.501,7344869,0,0,0.0,0,0,408,409,1,0,0
39.598,7344969,0,0,0.0,0,0,408,409,1,0,0
39.698,7345069,0,0,0.0,0,0,408,409,1,0,0
39.798,7345169,0,0,0.0,0,0,408,409,1,0,0
39.898,7345269,0,0,0.0,0,0,408,409,1,0,0
40.001,7345369,0,0,0.0,0,0,408,409,1,0,0
40.098,7345469,0,0,0.0,0,0,408,409,1,0,0
40.198,7345569,0,0,0.0,0,0,408,409,1,0,0
40.298,7345669,0,0,0.0,0,0,408,409,1,0,0
40.398,7345769,0,0,0.0,0,0,408,409,1,0,0
40.497,7345869,0,0,0.0,0,0,408,409,1,0,0
40.603,7345969,0,0,0.0,0,0,408,409,1,0,0
40.701,7346069,0,0,0.0,0,0,408,409,1,0,0
40.798,7346169,0,0,0.0,0,0,408,409,1,0,0
40.898,7346269,0,0,0.0,0,0,408,409,1,0,0
41.000,7346369,0,0,0.0,0,0,408,409,1,0,0
41.098,7346469,0,0,0.0,0,0,408,409,1,0,0
41.210,7346581,0,0,0.0,0,0,408,409,1,0,0
41.297,7346669,0,0,0.0,0,0,408,409,1,0,0
41.397,7346769,0,0,0.0,0,0,408,409,1,0,0
41.497,7346869,0,0,0.0,0,0,408,409,1,0,0
41.598,7346969,0,0,0.0,0,0,408,409,1,0,0
41.697,7347069,0,0,0.0,0,0,408,409,1,0,0
41.798,7347169,0,0,0.0,0,0,408,409,1,0,0
41.897,7347269,0,0,0.0,0,0,408,409,1,0,0
42.009,7347369,0,0,0.0,0,0,408,409,1,0,0
42.097,7347469,0,0,0.0,0,0,408,409,1,0,0
42.197,7347569,0,0,0.0,0,0,408,409,1,0,0
42.298,7347669,0,0,0.0,0,0,408,409,1,0,0
42.398,7347769,0,0,0.0,0,0,408,409,1,0,0
42.498,7347869,0,0,0.0,0,0,408,409,1,0,0
42.601,7347969,0,0,0.0,0,0,408,409,1,0,0
42.698,7348069,0,0,0.0,0,0,408,409,1,0,0
42.798,7348169,0,0,0.0,0,0,408,409,1,0,0
42.898,7348269,0,0,0.0,0,0,408,409,1,0,0
42.999,7348369,0,0,0.0,0,0,408,409,1,0,0
43.097,7348469,0,0,0.0,0,0,408,409,1,0,0
43.211,7348581,0,0,0.0,0,0,408,409,1,0,0
43.297,7348669,0,0,0.0,0,0,408,409,1,0,0
43.398,7348769,0,0,0.0,0,0,408,409,1,0,0
43.498,7348869,0,0,0.0,0,0,408,409,1,0,0
43.598,7348969,0,0,0.0,0,0,408,409,1,0,0
43.697,7349069,0,0,0.0,0,0,408,409,1,0,0
43.797,7349169,0,0,0.0,0,0,408,409,1,0,0
43.897,7349269,0,0,0.0,0,0,408,409,1,0,0
43.997,7349369,0,0,0.0,0,0,408,409,1,0,0
44.097,7349469,0,0,0.0,0,0,408,409,1,0,0
44.198,7349569,0,0,0.0,0,0,408,409,1,0,0
44.297,7349669,0,0,0.0,0,0,408,409,1,0,0
44.397,7349769,0,0,0.0,0,0,408,409,1,0,0
44.497,7349869,0,0,0.0,0,0,408,409,1,0,0
44.598,7349969,0,0,0.0,0,0,408,409,1,0,0
44.697,7350069,0,0,0.0,0,0,408,409,1,0,0
44.798,7350169,0,0,0.0,0,0,408,409,1,0,0
44.897,7350269,0,0,0.0,0,0,408,409,1,0,0
44.997,7350369,0,0,0.0,0,0,408,409,1,0,0
45.097,7350469,0,0,0.0,0,0,408,409,1,0,0
45.211,7350581,0,0,0.0,0,0,408,409,1,0,0
45.297,7350669,0,0,0.0,0,0,408,409,1,0,0
45.397,7350769,0,0,0.0,0,0,408,409,1,0,0
45.498,7350869,0,0,0.0,0,0,408,409,1,0,0
45.598,7350969,0,0,0.0,0,0,408,409,1,0,0
